Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1639958400000,2021-12-20,1INCHBTC,5.197e-05,5.219e-05,5.044e-05,5.109e-05,374092.2,19.1176543,6579
1639872000000,2021-12-19,1INCHBTC,5.299e-05,5.333e-05,5.155e-05,5.186e-05,1004902.3,52.45200593,7446
1639785600000,2021-12-18,1INCHBTC,5.288e-05,5.568e-05,5.236e-05,5.304e-05,1051938.5,57.31059477,7929
1639699200000,2021-12-17,1INCHBTC,5.406e-05,5.732e-05,5.204e-05,5.28e-05,1341219.6,71.81644916,11576
1639612800000,2021-12-16,1INCHBTC,5.222e-05,5.598e-05,5.201e-05,5.401e-05,1155796.7,62.55341856,8858
1639526400000,2021-12-15,1INCHBTC,5.258e-05,5.263e-05,4.992e-05,5.22e-05,834856.3,42.89059947,8244
1639440000000,2021-12-14,1INCHBTC,5.131e-05,5.455e-05,5.096e-05,5.268e-05,1048876.7,55.60740997,10474
1639353600000,2021-12-13,1INCHBTC,5.093e-05,5.419e-05,4.854e-05,5.136e-05,1295548.1,66.56868537,10508
1639267200000,2021-12-12,1INCHBTC,5.231e-05,5.231e-05,5.066e-05,5.091e-05,519750.2,26.68112029,4595
1639180800000,2021-12-11,1INCHBTC,5.263e-05,5.391e-05,5.204e-05,5.23e-05,651645.6,34.4267246,4797
1639094400000,2021-12-10,1INCHBTC,5.258e-05,5.566e-05,5.161e-05,5.269e-05,1094452.0,57.77603457,7362
1639008000000,2021-12-09,1INCHBTC,5.461e-05,5.955e-05,5.246e-05,5.261e-05,2111674.5,117.13748357,13765
1638921600000,2021-12-08,1INCHBTC,5.289e-05,5.511e-05,5.248e-05,5.46e-05,763644.6,41.11265579,6549
1638835200000,2021-12-07,1INCHBTC,5.257e-05,5.618e-05,5.215e-05,5.294e-05,1532287.5,82.25054294,9620
1638748800000,2021-12-06,1INCHBTC,5.335e-05,5.346e-05,4.901e-05,5.255e-05,1738014.3,89.72728358,11304
1638662400000,2021-12-05,1INCHBTC,5.442e-05,5.789e-05,5.212e-05,5.343e-05,1640419.2,89.2259083,14809
1638576000000,2021-12-04,1INCHBTC,5.842e-05,5.857e-05,4.474e-05,5.445e-05,3542595.7,187.82747445,25953
1638489600000,2021-12-03,1INCHBTC,6.149e-05,6.155e-05,5.739e-05,5.85e-05,1274433.3,76.53196621,10150
1638403200000,2021-12-02,1INCHBTC,6.444e-05,6.452e-05,6.084e-05,6.153e-05,1648495.7,102.13805818,11585
1638316800000,2021-12-01,1INCHBTC,6.222e-05,7.42e-05,6.156e-05,6.443e-05,6604948.4,441.06889358,43765
1638230400000,2021-11-30,1INCHBTC,6.495e-05,6.578e-05,6.205e-05,6.228e-05,1386133.8,87.67678955,9977
1638144000000,2021-11-29,1INCHBTC,6.362e-05,6.544e-05,6.3e-05,6.501e-05,903846.1,57.80060732,8340
1638057600000,2021-11-28,1INCHBTC,6.762e-05,6.771e-05,6.31e-05,6.372e-05,863718.1,56.12192943,9875
1637971200000,2021-11-27,1INCHBTC,6.824e-05,6.98e-05,6.742e-05,6.763e-05,888225.7,60.83852135,8349
1637884800000,2021-11-26,1INCHBTC,7.204e-05,7.23e-05,6.501e-05,6.829e-05,3133538.9,214.92053243,26674
1637798400000,2021-11-25,1INCHBTC,6.98e-05,7.28e-05,6.896e-05,7.206e-05,2481177.6,176.8321389,22031
1637712000000,2021-11-24,1INCHBTC,7.002e-05,7.303e-05,6.892e-05,6.982e-05,1925919.8,136.69405157,19488
1637625600000,2021-11-23,1INCHBTC,6.79e-05,7.177e-05,6.692e-05,7.014e-05,1605654.7,111.53486104,15524
1637539200000,2021-11-22,1INCHBTC,6.806e-05,6.872e-05,6.642e-05,6.784e-05,1003710.3,67.92224208,11989
1637452800000,2021-11-21,1INCHBTC,6.674e-05,6.994e-05,6.56e-05,6.798e-05,2122322.6,144.14587006,16480
1637366400000,2021-11-20,1INCHBTC,6.699e-05,6.822e-05,6.502e-05,6.669e-05,1050374.2,70.40622533,11299
1637280000000,2021-11-19,1INCHBTC,6.229e-05,6.87e-05,6.169e-05,6.695e-05,1341645.0,88.7293504,12074
1637193600000,2021-11-18,1INCHBTC,6.497e-05,6.62e-05,6.125e-05,6.239e-05,705312.7,44.71545362,8608
1637107200000,2021-11-17,1INCHBTC,6.404e-05,6.583e-05,6.29e-05,6.504e-05,495336.7,31.72450552,6336
1637020800000,2021-11-16,1INCHBTC,6.582e-05,6.615e-05,6.056e-05,6.395e-05,822359.9,52.5583118,9810
1636934400000,2021-11-15,1INCHBTC,6.525e-05,6.627e-05,6.45e-05,6.592e-05,451736.3,29.54967161,5221
1636848000000,2021-11-14,1INCHBTC,6.638e-05,6.676e-05,6.491e-05,6.544e-05,402829.5,26.45053372,7274
1636761600000,2021-11-13,1INCHBTC,6.494e-05,6.689e-05,6.448e-05,6.64e-05,763893.5,50.03276838,8759
1636675200000,2021-11-12,1INCHBTC,6.592e-05,6.592e-05,6.354e-05,6.494e-05,650630.6,42.0428024,7745
1636588800000,2021-11-11,1INCHBTC,6.278e-05,6.905e-05,6.232e-05,6.604e-05,1085252.2,71.57953209,12248
1636502400000,2021-11-10,1INCHBTC,6.625e-05,7.055e-05,5.91e-05,6.295e-05,2054123.7,133.77538984,21714
1636416000000,2021-11-09,1INCHBTC,6.859e-05,6.88e-05,6.547e-05,6.621e-05,721786.6,48.2141546,7805
1636329600000,2021-11-08,1INCHBTC,7.211e-05,7.213e-05,6.683e-05,6.855e-05,824393.0,56.58536688,8847
1636243200000,2021-11-07,1INCHBTC,7.186e-05,7.456e-05,7.061e-05,7.217e-05,899089.1,65.12393912,9534
1636156800000,2021-11-06,1INCHBTC,7.206e-05,7.302e-05,6.885e-05,7.172e-05,790283.5,56.31770787,9223
1636070400000,2021-11-05,1INCHBTC,7.344e-05,7.396e-05,7.159e-05,7.201e-05,832037.4,60.41477258,8785
1635984000000,2021-11-04,1INCHBTC,7.038e-05,7.518e-05,6.926e-05,7.344e-05,1392681.9,101.06574264,14783
1635897600000,2021-11-03,1INCHBTC,7.309e-05,7.312e-05,6.937e-05,7.035e-05,1391622.4,99.17201205,13270
1635811200000,2021-11-02,1INCHBTC,7.501e-05,7.519e-05,7.181e-05,7.311e-05,1836684.6,134.78825269,14450
1635724800000,2021-11-01,1INCHBTC,7.464e-05,7.611e-05,7.072e-05,7.493e-05,1412495.8,103.68742157,17502
1635638400000,2021-10-31,1INCHBTC,7.581e-05,8.03e-05,7.151e-05,7.46e-05,2126396.7,156.27349533,20094
1635552000000,2021-10-30,1INCHBTC,8.112e-05,8.281e-05,7.471e-05,7.592e-05,1234862.8,96.8853776,14764
1635465600000,2021-10-29,1INCHBTC,8.49e-05,9.042e-05,7.975e-05,8.121e-05,1960115.4,163.98296099,19090
1635379200000,2021-10-28,1INCHBTC,9.782e-05,9.853e-05,8.056e-05,8.491e-05,4477832.5,382.99402311,46250
1635292800000,2021-10-27,1INCHBTC,6.552e-05,0.00013495,6.472e-05,9.78e-05,19673816.0,1972.03937157,190414
1635206400000,2021-10-26,1INCHBTC,6.416e-05,6.688e-05,6.387e-05,6.549e-05,1298284.4,85.01988489,11427
1635120000000,2021-10-25,1INCHBTC,6.256e-05,6.61e-05,6.205e-05,6.426e-05,1165299.6,75.04881268,10491
1635033600000,2021-10-24,1INCHBTC,6.554e-05,6.652e-05,6.162e-05,6.254e-05,1475527.6,94.07883083,12784
1634947200000,2021-10-23,1INCHBTC,6.628e-05,6.673e-05,6.348e-05,6.562e-05,1275491.4,82.74341578,12903
1634860800000,2021-10-22,1INCHBTC,6.653e-05,6.912e-05,6.346e-05,6.629e-05,2107036.5,138.9900793,18228
1634774400000,2021-10-21,1INCHBTC,6.32e-05,7e-05,6.29e-05,6.652e-05,2596531.8,173.60034721,26257
1634688000000,2021-10-20,1INCHBTC,5.804e-05,6.499e-05,5.733e-05,6.32e-05,2266849.8,137.47901394,20729
1634601600000,2021-10-19,1INCHBTC,5.56e-05,5.872e-05,5.529e-05,5.801e-05,1525173.0,86.89841229,11686
1634515200000,2021-10-18,1INCHBTC,5.66e-05,5.871e-05,5.424e-05,5.559e-05,2000609.6,112.64574664,14084
1634428800000,2021-10-17,1INCHBTC,5.268e-05,5.985e-05,5.217e-05,5.657e-05,1503259.4,84.69288207,13902
1634342400000,2021-10-16,1INCHBTC,5.247e-05,5.411e-05,5.216e-05,5.27e-05,522162.3,27.76990816,4065
1634256000000,2021-10-15,1INCHBTC,5.855e-05,5.87e-05,5.151e-05,5.253e-05,2513527.4,133.97507597,14996
1634169600000,2021-10-14,1INCHBTC,5.169e-05,6.118e-05,5.079e-05,5.855e-05,3200451.2,182.1703464,23224
1634083200000,2021-10-13,1INCHBTC,5.17e-05,5.424e-05,5.106e-05,5.151e-05,663243.2,34.63023319,6023
1633996800000,2021-10-12,1INCHBTC,5.052e-05,5.301e-05,4.759e-05,5.174e-05,789076.4,39.39508265,6856
1633910400000,2021-10-11,1INCHBTC,5.394e-05,5.428e-05,4.934e-05,5.053e-05,859730.5,44.67760587,7911
1633824000000,2021-10-10,1INCHBTC,5.817e-05,5.821e-05,5.395e-05,5.408e-05,552510.7,30.9277275,6106
1633737600000,2021-10-09,1INCHBTC,5.862e-05,5.897e-05,5.757e-05,5.821e-05,443587.5,25.84452504,4720
1633651200000,2021-10-08,1INCHBTC,5.826e-05,6.02e-05,5.646e-05,5.857e-05,813436.0,47.59948334,7595
1633564800000,2021-10-07,1INCHBTC,5.629e-05,6.008e-05,5.501e-05,5.819e-05,1279764.2,73.92732761,9313
