JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck
"\GOOGLE","50GTU4-lot 1--test4","02","2025/04/30 19:07:17","","MODEL1","TOUMI","Line6","Original setup","0","321","210","1.6","1","1","1","1",
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
"Line6","1","NXT6","2","0","Original setup","","","28-HF0475-MSX1JR","KT-0800F-180","Variable","'28","21028","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HF0475-MSX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","10","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0101-JCXJR","KT-0800F-180","Variable","'29","21029","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0101-JCXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","8","0",
"Line6","1","NXT6","2","0","Original setup","","","12-PMH0MT-34070JR","KT-0800F-180","Variable","'30","21030","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\12-PMH0MT-34070JR.bmp","SOT-23","E0804","","","","Emboss","8mm","4","1.15","6","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0220-JCX1JR","KT-0800F-180","Variable","'31","21031","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0220-JCX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","6","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HC0223-KRX1JR","KT-0800F-180","Variable","'32","21032","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HC0223-KRX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","6","0",
"Line6","1","NXT6","2","0","Original setup","","","12-NMLWM0-2N31MJR","KT-0800F-180","Variable","'33","21033","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\12-NMLWM0-2N31MJR.bmp","SOT-23","E0804","","","","Emboss","8mm","4","1.15","4","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0203-JTXJR","KT-0800F-180","Variable","'34","21034","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0203-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0122-JTX1JR","KT-0800F-180","Variable","'35","21035","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0122-JTX1JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0123-JTXJR","KT-0800F-180","Variable","'36","21036","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0123-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0820-JC01JR","KT-0800F-180","Variable","'37","21037","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0820-JC01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA0153-JTX1JR","KT-0800F-180","Variable","'38","21038","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0153-JTX1JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","2","0","Original setup","","","33-PTL229-MT01JR","KT-0800F-180","Variable","'39","21039","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-PTL229-MT01JR.bmp","L-3X3X1.2","E0804","","","","Emboss","8mm","4","1.2","2","0",
"Line6","1","NXT6","2","0","Original setup","","","33-VHL188-JTXJR","KT-0800F-180","Variable","'40","21040","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VHL188-JTXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","33-VHL397-JTXJR","KT-0800F-180","Variable","'41","21041","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VHL397-JTXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
