PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
13-DCCP10-502AAVT,SOT23-5-lead,180,1.538,2.6,1.25,"KT8FL J79411,KT8FL K08007,KT8FL K08128,KT8FL K08180,KT8FL K08199,KT8FL K14343",M3-34,11484,6,11478,0,8,72,0,0,99.37,0,0.07,0.63,99.3
13-DCFP63-97S5VT,SOT23-5,180,1.6,2.9,1.25,KT8FL K14225,M3-44,2623,0,2623,0,61,2,0,0,99.92,0,2.33,0.08,97.6
13-DCFR92-06S90VT,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08143,KT8FL K08169,KT8FL K08170,KT8FL K14222,KT8FL K14279,KT8FL K14340,KT8FL K14384",M3-33,16748,7,16741,0,216,7,0,0,99.96,0,1.29,0.04,98.67
13-DCJW53-57MS0VT,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08003,KT8FL K08145,KT8FL K14387,KT8FL K14390,KT8FL K31759",M3-13,11407,9,11398,0,0,0,0,0,100,0,0,0,100
13-DCLC22-01CCBVT,SOT23-5,180,1.6,2.9,1.25,"KT8FL J79413,KT8FL K08028,KT8FL K08198,KT8FL K14334,KT8FL K14381,KT8FL K31620",M3-12,11518,11,11507,0,107,2,0,0,99.98,0,0.93,0.02,99.05
13-DCMP23-29GGZVT,QFN10 2X2,70,2,2,0.9,KT12F 213772,M3-5,2562,0,2562,0,2,0,0,0,100,0,0.08,0,99.92
13-DCMP23-86GGZVT,QFN10 2X2,70,2,2,0.9,KT12F 213759,M3-3,2560,0,2560,0,0,0,0,0,100,0,0,0,100
13-DCMP88-64GQZVT,QFN15 3X3,70,3,3,0.9,KT12F 213653,M1-12,2558,0,2558,0,0,0,0,0,100,0,0,0,100
13-DCSTI8-036B0VT,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,"KT12F 213662,KT12F 213664,KT12F 213700,KT12F 213756,KT12F 213771,KT12F 213775,KT12F 213789",M4-17,13976,13,13963,0,0,7,0,0,99.95,0,0,0.05,99.95
13-DCTPS5-66231VT,QFN 09 2X1.5,70,2.142,1.586,1,"KT8FL K08005,KT8FL K08125,KT8FL K14333,KT8FL K14377,KT8FL K31718",M5-44,11409,11,11398,0,2,0,0,0,100,0,0.02,0,99.98
