Machine,Position,PartNumber,Qty,Error code,Cause,Job
NXT6,M01-23,28-HC0104-MBXVT,13,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,"55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-23,28-HC0104-MBXVT,13,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-23,28-HC0104-MBXVT,10,8000D727,Processing error. The part is incorrect. (Non leaded part),43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-23,28-HC1003-KRX1JR,6,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,"50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-23,0RJ1201C678,5,8000D701,"Processing error (shared):
Unable to find a part.","55UT$MODEL1$Original setup T 1,65UT$MODEL1$Original setup T 1"
NXT6,M01-23,004.003.0000018,5,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-23,28-HC1003-KRX1JR,4,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-23,004.003.0000018,3,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-23,28-HC1003-KRX1JR,1,8000D722,Processing error. Unable to acquire the body outline. (Non leaded part),50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-23,28-HC1003-KRX1JR,1,8000D721,"Processing error (non leaded part)
 Part body size Y tolerance error.",50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-23,004.003.0000018,1,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-24,19-GA0101-JTXJR,132,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 01"
NXT6,M01-24,004.002.0000568,80,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-24,28-HB0102-KBXVT,79,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-24,19-GA0101-JTXJR,67,8000340C,"The part has been picked up with misalignment in the Y-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-24,19-GA0101-JTXJR,14,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-24,0RJ5101C678,10,8000D701,"Processing error (shared):
Unable to find a part.",55UT$MODEL1$Original setup T 1
NXT6,M01-24,004.002.0000568,7,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-24,19-GA0101-JTXJR,6,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-24,28-HB0102-KBXVT,4,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-24,004.002.0000568,4,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-24,19-GA0101-JTXJR,3,8000340B,"The part has been picked up with misalignment in the X-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-24,0RJ5101C678,2,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","OLED65CS4VA opt test$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1"
NXT6,M01-24,28-HB0102-KBXVT,1,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-25,19-GA0101-JTXVT,148,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-25,19-GA0101-JTXVT,100,8000340C,"The part has been picked up with misalignment in the Y-direction.
The part center is misaligned by 3 mm or more from the holder's center of rotation.",55GTU2-lot 1$MODEL1$Original setup T 01
NXT6,M01-25,0RJ0472C678,22,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-25,19-GA0101-JTXVT,15,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-25,19-GA0101-JTXVT,6,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-25,EBC34656201,3,8000D701,"Processing error (shared):
Unable to find a part.",OLED65CS4VA$MODEL1$Original setup T 2
NXT6,M01-25,0RJ0472C678,2,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.",55NANO$MODEL1$Original setup T 1
NXT6,M01-25,33-VLN102-NTXJR,1,8000D701,"Processing error (shared):
Unable to find a part.",50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-25,004.003.0000569,1,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-26,19-GA0229-FTXVT,53,8000D701,"Processing error (shared):
Unable to find a part.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-26,19-GA0229-FTXVT,17,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-26,0RJ0102C678,14,8000D701,"Processing error (shared):
Unable to find a part.","50UT$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,OLED65CS4VA$MODEL1$Original setup T 2"
NXT6,M01-26,0RJ0102C678,6,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1"
NXT6,M01-26,19-GA0229-FTXVT,5,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
